amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
5E+2,secured,19/01278/FU4-MON,19/01278/FU4-MON-TRANS1,,2020-11-05,local-authority-eng:SND,2019-12-10,,/developer-agreement-transaction/local-authority-eng/SND/19-01278-FU4-MON-TRANS1
5E+2,received,19/01278/FU4-MON,19/01278/FU4-MON-TRANS2,,2020-11-05,local-authority-eng:SND,2019-12-10,,/developer-agreement-transaction/local-authority-eng/SND/19-01278-FU4-MON-TRANS2
5E+2,allocated,19/01278/FU4-MON,19/01278/FU4-MON-TRANS3,,2020-11-05,local-authority-eng:SND,2019-12-10,,/developer-agreement-transaction/local-authority-eng/SND/19-01278-FU4-MON-TRANS3
192.75,spent,19/01278/FU4-MON,19/01278/FU4-MON-TRANS4,,2020-12-09,local-authority-eng:SND,2020-03-31,,/developer-agreement-transaction/local-authority-eng/SND/19-01278-FU4-MON-TRANS4
77714.8,secured,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS1,,2020-11-05,local-authority-eng:SND,2014-07-24,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-TW-TRANS1
77714.8,received,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS2,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-TW-TRANS2
77714.8,allocated,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS3,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-TW-TRANS3
77714.8,spent,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS4,,2020-11-05,local-authority-eng:SND,2016-03-31,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-TW-TRANS4
40285.2,secured,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS1,,2020-11-05,local-authority-eng:SND,2014-07-24,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-P-TRANS1
40285.2,received,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS2,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-P-TRANS2
40285.2,allocated,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS3,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-P-TRANS3
40285.2,spent,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS4,,2020-11-05,local-authority-eng:SND,2016-03-31,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-1-P-TRANS4
77714.8,secured,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS1,,2020-11-05,local-authority-eng:SND,2016-08-26,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-TW-TRANS1
77714.8,received,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS2,,2020-11-05,local-authority-eng:SND,2017-04-07,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-TW-TRANS2
77714.8,allocated,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS3,,2020-11-05,local-authority-eng:SND,2017-04-07,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-TW-TRANS3
77714.8,spent,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS4,,2020-11-05,local-authority-eng:SND,2018-03-31,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-TW-TRANS4
40285.2,secured,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS1,,2020-11-05,local-authority-eng:SND,2016-08-26,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-P-TRANS1
40285.2,received,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS2,,2020-11-05,local-authority-eng:SND,2017-04-04,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-P-TRANS2
40285.2,allocated,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS3,,2020-11-05,local-authority-eng:SND,2020-04-04,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-P-TRANS3
40285.2,spent,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS4,,2020-11-05,local-authority-eng:SND,2018-03-31,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-2-P-TRANS4
95772.6,secured,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS1,,2020-11-05,local-authority-eng:SND,2018-04-26,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-TW-TRANS1
95772.6,received,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS2,,2020-11-05,local-authority-eng:SND,2018-01-09,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-TW-TRANS2
95772.6,allocated,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS3,,2020-11-05,local-authority-eng:SND,2018-01-09,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-TW-TRANS3
95772.6,spent,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS4,,2020-11-05,local-authority-eng:SND,2018-03-31,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-TW-TRANS4
49645.86,secured,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS1,,2020-11-05,local-authority-eng:SND,2018-04-26,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-P-TRANS1
49645.86,received,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS2,,2020-11-05,local-authority-eng:SND,2017-10-03,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-P-TRANS2
49645.86,allocated,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS3,,2020-11-05,local-authority-eng:SND,2017-10-03,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-P-TRANS3
49645.86,spent,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS4,,2020-11-05,local-authority-eng:SND,2018-03-31,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-2-1-3-P-TRANS4
49395,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-TW-TRANS1,,2020-11-05,local-authority-eng:SND,2014-07-24,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-TW-TRANS1
49395,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-TW-TRANS2,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-TW-TRANS2
49395,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-TW-TRANS3,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-TW-TRANS3
25605,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-P-TRANS1,,2020-11-05,local-authority-eng:SND,2014-07-24,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-P-TRANS1
25605,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-P-TRANS2,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-P-TRANS2
25605,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-P-TRANS3,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-P-TRANS3
14319.61,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-TW-TRANS1,,2020-11-05,local-authority-eng:SND,2014-07-24,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-INT-TW-TRANS1
14319.61,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-TW-TRANS2,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-INT-TW-TRANS2
14319.61,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-TW-TRANS3,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-INT-TW-TRANS3
7422.89,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-P-TRANS1,,2020-11-05,local-authority-eng:SND,2014-07-24,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-INT-P-TRANS1
7422.89,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-P-TRANS2,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-INT-P-TRANS2
7422.89,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-P-TRANS3,,2020-11-05,local-authority-eng:SND,2015-07-16,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-1-INT-P-TRANS3
49395,secured,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-TW-TRANS1,,2020-11-05,local-authority-eng:SND,2016-08-26,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-2-TW-TRANS1
49395,received,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-TW-TRANS2,,2020-11-05,local-authority-eng:SND,2017-04-07,,/developer-agreement-transaction/local-authority-eng/SND/06-02209-FUL-S2-3-1-2-TW-TRANS2
