row-number,field,issue-type,value
1,organisation,default,local-authority-eng:HRT
1,entry-date,default,2021-02-15
2,organisation,default,local-authority-eng:HRT
2,entry-date,default,2021-02-15
3,organisation,default,local-authority-eng:HRT
3,entry-date,default,2021-02-15
4,organisation,default,local-authority-eng:HRT
4,entry-date,default,2021-02-15
5,organisation,default,local-authority-eng:HRT
5,entry-date,default,2021-02-15
6,organisation,default,local-authority-eng:HRT
6,entry-date,default,2021-02-15
7,organisation,default,local-authority-eng:HRT
7,entry-date,default,2021-02-15
8,organisation,default,local-authority-eng:HRT
8,entry-date,default,2021-02-15
9,organisation,default,local-authority-eng:HRT
9,entry-date,default,2021-02-15
10,organisation,default,local-authority-eng:HRT
10,entry-date,default,2021-02-15
11,organisation,default,local-authority-eng:HRT
11,entry-date,default,2021-02-15
12,organisation,default,local-authority-eng:HRT
12,entry-date,default,2021-02-15
13,organisation,default,local-authority-eng:HRT
13,entry-date,default,2021-02-15
14,organisation,default,local-authority-eng:HRT
14,entry-date,default,2021-02-15
15,organisation,default,local-authority-eng:HRT
15,entry-date,default,2021-02-15
16,organisation,default,local-authority-eng:HRT
16,entry-date,default,2021-02-15
17,organisation,default,local-authority-eng:HRT
17,entry-date,default,2021-02-15
18,organisation,default,local-authority-eng:HRT
18,entry-date,default,2021-02-15
19,organisation,default,local-authority-eng:HRT
19,entry-date,default,2021-02-15
20,organisation,default,local-authority-eng:HRT
20,entry-date,default,2021-02-15
21,organisation,default,local-authority-eng:HRT
21,entry-date,default,2021-02-15
22,organisation,default,local-authority-eng:HRT
22,entry-date,default,2021-02-15
23,organisation,default,local-authority-eng:HRT
23,entry-date,default,2021-02-15
24,organisation,default,local-authority-eng:HRT
24,entry-date,default,2021-02-15
25,organisation,default,local-authority-eng:HRT
25,entry-date,default,2021-02-15
26,organisation,default,local-authority-eng:HRT
26,entry-date,default,2021-02-15
27,organisation,default,local-authority-eng:HRT
27,entry-date,default,2021-02-15
28,organisation,default,local-authority-eng:HRT
28,entry-date,default,2021-02-15
29,organisation,default,local-authority-eng:HRT
29,entry-date,default,2021-02-15
30,organisation,default,local-authority-eng:HRT
30,entry-date,default,2021-02-15
31,organisation,default,local-authority-eng:HRT
31,entry-date,default,2021-02-15
32,organisation,default,local-authority-eng:HRT
32,entry-date,default,2021-02-15
33,organisation,default,local-authority-eng:HRT
